business_id,name,category,brand,lat,lon,geom,address,city,state,zip,address_norm,phone,website,present_in,def,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props,search_tsv,last_seen_at,last_seen_src,liveness,live_state,live_presence,live_sources,live_corrob,live_reasons
biz_011b0d9dddd0265d,Oaxaca Wahaka Express,restaurant,,40.70480728149414,-74.00494384765625,POINT(-74.00494384765625 40.70480728149414),70 South St,New York,NY,10005-1616,,,,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,68,65,100,50,50,{},"{""overture"": {""lat"": 40.70480728149414, ""lon"": -74.00494384765625, ""zip"": ""10005-1616"", ""city"": ""New York"", ""name"": ""Oaxaca Wahaka Express"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""70 South St"", ""release"": ""2026-07-22.0"", ""website"": null, ""category"": ""restaurant"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.95, ""category_source"": ""restaurant"", ""source_record_id"": ""d5c660d0-e048-4ea2-8d2b-647f02be475d""}}",'express':3 'new':4 'oaxaca':1 'wahaka':2 'york':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_015766281c33c80c,Bank of America ATM,atm_bank,,40.718292236328125,-74.033935546875,POINT(-74.033935546875 40.718292236328125),200 Hudson St Ste 162,Jersey City,NJ,07311,,8444018500,https://locators.bankofamerica.com/nj/jerseycity/financial-centers-jersey-city-16849.html,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.718292236328125, ""lon"": -74.033935546875, ""zip"": ""07311"", ""city"": ""Jersey City"", ""name"": ""Bank of America ATM"", ""brand"": null, ""phone"": ""8444018500"", ""state"": ""NJ"", ""address"": ""200 Hudson St Ste 162"", ""release"": ""2026-07-22.0"", ""website"": ""https://locators.bankofamerica.com/nj/jerseycity/financial-centers-jersey-city-16849.html"", ""category"": ""atm_bank"", ""state_raw"": ""NJ"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9843740493059159, ""category_source"": ""bank_credit_union"", ""source_record_id"": ""c97facc8-a8cb-48c5-ae33-1252dbff65f7""}}",'america':3 'atm':4 'bank':1 'citi':6 'jersey':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_0158e71048ab3379,Crack Rice Canal St,restaurant,,40.72128677368164,-74.00497436523438,POINT(-74.00497436523438 40.72128677368164),386 Canal St ont #5,New York,NY,10013,,2127758090,https://canalst.crackricetogo.com/?utm_source=bing&utm_medium=websiteurl&utm_campaign=search,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.72128677368164, ""lon"": -74.00497436523438, ""zip"": ""10013"", ""city"": ""New York"", ""name"": ""Crack Rice Canal St"", ""brand"": null, ""phone"": ""2127758090"", ""state"": ""NY"", ""address"": ""386 Canal St ont #5"", ""release"": ""2026-07-22.0"", ""website"": ""https://canalst.crackricetogo.com/?utm_source=bing&utm_medium=websiteurl&utm_campaign=search"", ""category"": ""restaurant"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9749269485473633, ""category_source"": ""restaurant"", ""source_record_id"": ""ebcc3407-301c-4207-9c71-c2ac6e69b8a6""}}",'canal':3 'crack':1 'new':5 'rice':2 'st':4 'york':6,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_0169ceaa679f8dcf,Cvs Pharmacy,pharmacy,,40.73248291015625,-74.00000762939453,POINT(-74.00000762939453 40.73248291015625),360 Avenue of the Americas,New York,NY,10011-8437,,2123759401,https://www.cvs.com,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.73248291015625, ""lon"": -74.00000762939453, ""zip"": ""10011-8437"", ""city"": ""New York"", ""name"": ""Cvs Pharmacy"", ""brand"": null, ""phone"": ""2123759401"", ""state"": ""NY"", ""address"": ""360 Avenue of the Americas"", ""release"": ""2026-07-22.0"", ""website"": ""https://www.cvs.com"", ""category"": ""pharmacy"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.998275, ""category_source"": ""pharmacy"", ""source_record_id"": ""6b4f428d-990e-4fcd-8f6a-a6197d4de1d8""}}",'cvs':1 'new':3 'pharmaci':2 'york':4,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_016ab2a8b7fbcde0,Terry-ram Ltd,grocery,,40.71821212768555,-74.01480865478516,POINT(-74.01480865478516 40.71821212768555),41 River Ter,New York,NY,10282-1113,,,,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,68,65,100,50,50,{},"{""overture"": {""lat"": 40.71821212768555, ""lon"": -74.01480865478516, ""zip"": ""10282-1113"", ""city"": ""New York"", ""name"": ""Terry-ram Ltd"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""41 River Ter"", ""release"": ""2026-07-22.0"", ""website"": null, ""category"": ""grocery"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9596138000488281, ""category_source"": ""grocery_store"", ""source_record_id"": ""6303bf26-a884-497c-be4f-57df820c3198""}}",'ltd':4 'new':5 'ram':3 'terri':2 'terry-ram':1 'york':6,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_016dd23b18c354e4,Good Neighbor Pharmacy,pharmacy,Good Neighbor Pharmacy,40.71864700317383,-73.9949951171875,POINT(-73.9949951171875 40.71864700317383),,New York,NY,,,,https://www.mygnp.com/pharmacies/tu-quynh-pharmacy-new-york-ny-10013,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,68,65,100,50,50,{},"{""overture"": {""lat"": 40.71864700317383, ""lon"": -73.9949951171875, ""zip"": null, ""city"": ""New York"", ""name"": ""Good Neighbor Pharmacy"", ""brand"": ""Good Neighbor Pharmacy"", ""phone"": null, ""state"": ""NY"", ""address"": null, ""release"": ""2026-07-22.0"", ""website"": ""https://www.mygnp.com/pharmacies/tu-quynh-pharmacy-new-york-ny-10013"", ""category"": ""pharmacy"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.8, ""category_source"": ""pharmacy"", ""source_record_id"": ""ee87c3b8-ccc7-4ac3-9061-6cc56c72e6b2""}}","'good':1,4 'neighbor':2,5 'new':7 'pharmaci':3,6 'york':8",2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_0179831c016996b8,Newport Pharmacy,pharmacy,,40.72807693481445,-74.0434341430664,POINT(-74.0434341430664 40.72807693481445),165 Erie St,Jersey City,NJ,07302,,+12019631903,http://www.newportpharmacy.com/,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.72807693481445, ""lon"": -74.0434341430664, ""zip"": ""07302"", ""city"": ""Jersey City"", ""name"": ""Newport Pharmacy"", ""brand"": null, ""phone"": ""+12019631903"", ""state"": ""NJ"", ""address"": ""165 Erie St"", ""release"": ""2026-07-22.0"", ""website"": ""http://www.newportpharmacy.com/"", ""category"": ""pharmacy"", ""state_raw"": ""NJ"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9902192950248718, ""category_source"": ""pharmacy"", ""source_record_id"": ""fab33b1f-b6c6-46dd-abd2-039ba90335da""}}",'citi':4 'jersey':3 'newport':1 'pharmaci':2,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_01a7513c78825524,New Village Market Inc,grocery,,40.731937408447266,-73.99533081054688,POINT(-73.99533081054688 40.731937408447266),13 E 8th St,New York,NY,10003-5901,,,,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,68,65,100,50,50,{},"{""overture"": {""lat"": 40.731937408447266, ""lon"": -73.99533081054688, ""zip"": ""10003-5901"", ""city"": ""New York"", ""name"": ""New Village Market Inc"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""13 E 8th St"", ""release"": ""2026-07-22.0"", ""website"": null, ""category"": ""grocery"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.95, ""category_source"": ""grocery_store"", ""source_record_id"": ""132230d9-c458-473a-95ba-b85e6d05ca12""}}","'inc':4 'market':3 'new':1,5 'villag':2 'york':6",2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_01fab132be651a5e,New York City Health & Hospitals Corporation,medical,,40.715476989746094,-74.00250244140625,POINT(-74.00250244140625 40.715476989746094),125 Worth St,New York,NY,10013-4006,,+12122951518,http://www.courts.state.ny.us/courts/nyc/civil,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.715476989746094, ""lon"": -74.00250244140625, ""zip"": ""10013-4006"", ""city"": ""New York"", ""name"": ""New York City Health & Hospitals Corporation"", ""brand"": null, ""phone"": ""+12122951518"", ""state"": ""NY"", ""address"": ""125 Worth St"", ""release"": ""2026-07-22.0"", ""website"": ""http://www.courts.state.ny.us/courts/nyc/civil"", ""category"": ""medical"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.5151669979095459, ""category_source"": ""hospital"", ""source_record_id"": ""7cf13648-60a2-4d60-a96d-04db05570c87""}}","'citi':3 'corpor':6 'health':4 'hospit':5 'new':1,7 'york':2,8",2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_02556eacf3013454,Le Pain Quotidien,restaurant,,40.71504211425781,-74.00940704345703,POINT(-74.00940704345703 40.71504211425781),81 W Broadway,New York,NY,10007-1019,,16466528186,https://www.lepainquotidien.com,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.71504211425781, ""lon"": -74.00940704345703, ""zip"": ""10007-1019"", ""city"": ""New York"", ""name"": ""Le Pain Quotidien"", ""brand"": null, ""phone"": ""16466528186"", ""state"": ""NY"", ""address"": ""81 W Broadway"", ""release"": ""2026-07-22.0"", ""website"": ""https://www.lepainquotidien.com"", ""category"": ""restaurant"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9923596978187561, ""category_source"": ""restaurant"", ""source_record_id"": ""13dbba09-d34e-49c5-9c72-b8eb6ecceed1""}}",'le':1 'new':4 'pain':2 'quotidien':3 'york':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_0267d5f05f05e274,Citi,atm_bank,,40.73053741455078,-73.99298095703125,POINT(-73.99298095703125 40.73053741455078),749 Broadway,New York,NY,10003,,9177464477,https://www.citi.com/?utm_source=bing&utm_medium=yext&y_source=1_Mjg5MTY2NzMtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.73053741455078, ""lon"": -73.99298095703125, ""zip"": ""10003"", ""city"": ""New York"", ""name"": ""Citi"", ""brand"": null, ""phone"": ""9177464477"", ""state"": ""NY"", ""address"": ""749 Broadway"", ""release"": ""2026-07-22.0"", ""website"": ""https://www.citi.com/?utm_source=bing&utm_medium=yext&y_source=1_Mjg5MTY2NzMtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D"", ""category"": ""atm_bank"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9919538407325744, ""category_source"": ""bank_credit_union"", ""source_record_id"": ""51a13b76-3a93-4c98-9ce2-72243fff54f9""}}",'citi':1 'new':2 'york':3,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_02775c6a5e7f420e,Philippine National Bank,atm_bank,,40.70622253417969,-74.01164245605469,POINT(-74.01164245605469 40.70622253417969),30 Broad St,New York,NY,10004-2304,,+12127909600,http://www.pnbnewyork.com,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.70622253417969, ""lon"": -74.01164245605469, ""zip"": ""10004-2304"", ""city"": ""New York"", ""name"": ""Philippine National Bank"", ""brand"": null, ""phone"": ""+12127909600"", ""state"": ""NY"", ""address"": ""30 Broad St"", ""release"": ""2026-07-22.0"", ""website"": ""http://www.pnbnewyork.com"", ""category"": ""atm_bank"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.37657830119132996, ""category_source"": ""bank_credit_union"", ""source_record_id"": ""65954929-8d96-45be-b160-fb2397b4eaaf""}}",'bank':3 'nation':2 'new':4 'philippin':1 'york':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_028149072fb11080,District Kitchen,restaurant,,40.71927261352539,-74.03366088867188,POINT(-74.03366088867188 40.71927261352539),210 Harborside Financial Center,Jersey City,NJ,07311-1200,,,https://districtkitchenjc.com/,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,70,65,100,63,50,{},"{""overture"": {""lat"": 40.71927261352539, ""lon"": -74.03366088867188, ""zip"": ""07311-1200"", ""city"": ""Jersey City"", ""name"": ""District Kitchen"", ""brand"": null, ""phone"": null, ""state"": ""NJ"", ""address"": ""210 Harborside Financial Center"", ""release"": ""2026-07-22.0"", ""website"": ""https://districtkitchenjc.com/"", ""category"": ""restaurant"", ""state_raw"": ""NJ"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9796009659767151, ""category_source"": ""restaurant"", ""source_record_id"": ""b04746cc-1b23-4335-9c1e-24c68ffeca72""}}",'citi':4 'district':1 'jersey':3 'kitchen':2,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_029d8978a2914aec,Slice & Co,restaurant,,40.72953796386719,-74.00115203857422,POINT(-74.00115203857422 40.72953796386719),95 Macdougal St,New York,NY,10012-1258,,,sliceandconyc.com,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,70,65,100,63,50,{},"{""overture"": {""lat"": 40.72953796386719, ""lon"": -74.00115203857422, ""zip"": ""10012-1258"", ""city"": ""New York"", ""name"": ""Slice & Co"", ""brand"": null, ""phone"": null, ""state"": ""NY"", ""address"": ""95 Macdougal St"", ""release"": ""2026-07-22.0"", ""website"": ""sliceandconyc.com"", ""category"": ""restaurant"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9732916682958602, ""category_source"": ""restaurant"", ""source_record_id"": ""3a0e5b36-0a2b-440b-bc58-99aa1ecc56a5""}}",'co':2 'new':3 'slice':1 'york':4,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
biz_02d86a4d43b41a16,Hotel Richland LES,hotel,,40.714759826660156,-73.99299621582031,POINT(-73.99299621582031 40.714759826660156),5 Allen St,New York,NY,10002-5301,,+12122191018,http://hotels.cloudbeds.com/reservation/PLN1BW,{overture},,businesses_conflate,1100,2026-07-22 18:44:37.477175+00,2026-07-22 00:00:00+00,73,65,100,75,50,{},"{""overture"": {""lat"": 40.714759826660156, ""lon"": -73.99299621582031, ""zip"": ""10002-5301"", ""city"": ""New York"", ""name"": ""Hotel Richland LES"", ""brand"": null, ""phone"": ""+12122191018"", ""state"": ""NY"", ""address"": ""5 Allen St"", ""release"": ""2026-07-22.0"", ""website"": ""http://hotels.cloudbeds.com/reservation/PLN1BW"", ""category"": ""hotel"", ""state_raw"": ""NY"", ""observed_at"": ""2026-07-22T00:00:00+00:00"", ""src_confidence"": 0.9990518689155579, ""category_source"": ""hotel"", ""source_record_id"": ""a8c21f3c-f541-4673-a9e6-1cc3f3dfb3d8""}}",'hotel':1 'les':3 'new':4 'richland':2 'york':5,2026-07-22 00:00:00+00,overture,62,likely_open,95,50,0,{}
