chain_site_id,spider,brand,name,street,city,state,phone,website,opening_hours,open_24h,lat,lon,geom,observed_at,run_id,ingested_at
fleetpride_us:17,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",4100 E. Shelby Dr,Memphis,TN,+1 901-367-1794,https://branches.fleetpride.com/tn/memphis/truckparts-17.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,35.020694,-89.926547,POINT(-89.926547 35.020694),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:177,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2002 S. Benton Avenue,Searcy,AR,+1 501-389-6660,https://branches.fleetpride.com/ar/searcy/truckparts-177.html,Mo-Fr 08:00-17:00,,35.2314984,-91.7141791,POINT(-91.7141791 35.2314984),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:178,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",311 Marion Street,St. Louis,MO,+1 314-231-5047,https://branches.fleetpride.com/mo/st-louis/truckparts-178.html,Mo-Fr 07:00-17:00,,38.6106156,-90.196849,POINT(-90.196849 38.6106156),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:179,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",5701 E 45th Ave,Denver,CO,+1 303-329-9808,https://branches.fleetpride.com/co/denver/truckparts-179.html,Mo-Fr 08:00-17:00,,39.77969,-104.92717,POINT(-104.92717 39.77969),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:18,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",3762 Highway 82 West-Leland,Leland,MS,+1 662-332-6324,https://branches.fleetpride.com/ms/leland/truckparts-18.html,Mo-Fr 07:30-17:00,,33.401266,-90.963613,POINT(-90.963613 33.401266),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:183,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1308 West 2nd,Odessa,TX,+1 432-333-3241,https://branches.fleetpride.com/tx/odessa/truckparts-183.html,Mo-Fr 08:00-17:00,,31.839242,-102.38072,POINT(-102.38072 31.839242),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:185,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",11213 Rojas,El Paso,TX,+1 915-593-8213,https://branches.fleetpride.com/tx/elpaso/truckparts-185.html,Mo-Fr 08:00-17:00,,31.744469,-106.324768,POINT(-106.324768 31.744469),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:186,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",4220 Edith Boulevard NE,Albuquerque,NM,+1 505-345-2666,https://branches.fleetpride.com/nm/albuquerque/truckparts-186.html,Mo-Fr 08:00-17:00,,35.123344,-106.632563,POINT(-106.632563 35.123344),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:187,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",4420 Interstate 40 East,Amarillo,TX,+1 806-372-3893,https://branches.fleetpride.com/tx/amarillo/truckparts-187.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,35.191806,-101.782722,POINT(-101.782722 35.191806),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:19,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1856 Doan Way,Norcross,GA,+1 770-840-9333,https://branches.fleetpride.com/ga/norcross/truckparts-19.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,33.94211,-84.148868,POINT(-84.148868 33.94211),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:192,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",150 Central Avenue,Teterboro,NJ,+1 201-288-9333,https://branches.fleetpride.com/nj/teterboro/truckparts-192.html,Mo-Fr 08:00-17:00,,40.860399,-74.053129,POINT(-74.053129 40.860399),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:194,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",3955 Bristol Pike,Bensalem,PA,+1 215-638-1474,https://branches.fleetpride.com/pa/bensalem/truckparts-194.html,Mo-Fr 08:00-17:00,,40.093246,-74.91603,POINT(-74.91603 40.093246),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:195,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1556 Delmar Drive,Folcroft,PA,+1 610-534-5950,https://branches.fleetpride.com/pa/folcroft/truckparts-195.html,Mo-Fr 07:30-17:00,,39.89631,-75.275651,POINT(-75.275651 39.89631),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:199,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",3061 Northwest 75th Avenue,Miami,FL,+1 305-591-3200,https://branches.fleetpride.com/fl/miami/truckparts-199.html,Mo-Fr 07:30-17:00,,25.802143,-80.318613,POINT(-80.318613 25.802143),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:2,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1201 Baucum Industrial Dr,North Little Rock,AR,+1 501-945-2229,https://branches.fleetpride.com/ar/northlittlerock/truckparts-2.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,34.737669,-92.171577,POINT(-92.171577 34.737669),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:213,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1200 Front Street,Milton,PA,+1 570-742-9072,https://branches.fleetpride.com/pa/milton/truckparts-213.html,Mo-Fr 08:00-17:00,,41.033358,-76.85387,POINT(-76.85387 41.033358),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:214,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",90 Benbro Drive,Buffalo,NY,+1 716-685-3770,https://branches.fleetpride.com/ny/buffalo/truckparts-214.html,Mo-Fr 07:30-17:00,,42.91144,-78.736709,POINT(-78.736709 42.91144),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:215,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",59 Railroad Avenue,Albany,NY,+1 518-489-8497,https://branches.fleetpride.com/ny/albany/truckparts-215.html,Mo-Fr 08:00-17:00,,42.69576,-73.822062,POINT(-73.822062 42.69576),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:217,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1312 Pleasant Valley Blvd,Altoona,PA,+1 814-943-8131,https://branches.fleetpride.com/pa/altoona/truckparts-217.html,Mo-Fr 07:30-17:00,,40.505914,-78.387107,POINT(-78.387107 40.505914),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:219,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1515 South 19th Street,Harrisburg,PA,+1 717-939-7873,https://branches.fleetpride.com/pa/harrisburg/truckparts-219.html,Mo-Fr 08:00-17:00,,40.24805,-76.851572,POINT(-76.851572 40.24805),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:22,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1144 White Horse Rd,Greenville,SC,+1 864-422-1800,https://branches.fleetpride.com/sc/greenville/truckparts-22.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,34.784865,-82.405545,POINT(-82.405545 34.784865),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:220,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company","4431 William Penn Highway, Ste. 1",Murrysville,PA,+1 724-479-3463,https://branches.fleetpride.com/pa/murrysville/truckparts-220.html,Mo-Fr 08:00-17:00,,40.425592,-79.677078,POINT(-79.677078 40.425592),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:234,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1215 White Horse Road,Greenville,SC,+1 864-299-3340,https://branches.fleetpride.com/sc/greenville/truckparts-234.html,Mo-Fr 07:30-17:30,,34.7848,-82.408472,POINT(-82.408472 34.7848),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:24,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1251 Northeast Pkwy.,Fort Worth,TX,+1 817-625-9186,https://branches.fleetpride.com/tx/fortworth/truckparts-24.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,32.839196,-97.341325,POINT(-97.341325 32.839196),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:25,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",156 Waterfront Way,Dalton,GA,+1 706-277-7933,https://branches.fleetpride.com/ga/dalton/truckparts-25.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,34.688301,-85.000202,POINT(-85.000202 34.688301),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:253,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",33454A Lee Highway,Glade Spring,VA,+1 276-429-5514,https://branches.fleetpride.com/va/gladespring/truckparts-253.html,Mo-Fr 08:00-17:00,,36.769757,-81.778301,POINT(-81.778301 36.769757),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:254,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",680 Raven Road,Raven,VA,+1 276-963-1074,https://branches.fleetpride.com/va/raven/truckparts-254.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,37.086996,-81.859804,POINT(-81.859804 37.086996),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:255,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",888 North Main Street,Harrisonburg,VA,+1 540-433-2686,https://branches.fleetpride.com/va/harrisonburg/truckparts-255.html,Mo-Fr 08:00-17:00,,38.458074,-78.859393,POINT(-78.859393 38.458074),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:256,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",500 Commerce Road,Richmond,VA,+1 804-233-8321,https://branches.fleetpride.com/va/richmond/truckparts-256.html,Mo-Fr 07:30-17:30; Sa 08:00-12:00,,37.518398,-77.436755,POINT(-77.436755 37.518398),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:26,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",43257 S Airport Rd,Hammond,LA,+1 985-542-7495,https://branches.fleetpride.com/la/hammond/truckparts-26.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,30.484203,-90.414702,POINT(-90.414702 30.484203),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:272,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",247 West 1700 South,Salt Lake City,UT,+1 801-488-4666,https://branches.fleetpride.com/ut/saltlakecity/truckparts-272.html,Mo-Fr 08:00-17:00,,40.73292,-111.898354,POINT(-111.898354 40.73292),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:273,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",5125 West 2100 South,West Valley City,UT,+1 801-488-4677,https://branches.fleetpride.com/ut/westvalleycity/truckparts-273.html,Mo-Fr 08:00-17:00,,40.7253071,-112.0138243,POINT(-112.0138243 40.7253071),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:275,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1920 Kimberly Road,Twin Falls,ID,+1 208-734-2855,https://branches.fleetpride.com/id/twinfalls/truckparts-275.html,Mo-Fr 08:00-17:00,,42.548145,-114.44725,POINT(-114.44725 42.548145),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:277,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",841 North Industrial Park Dr,Orem,UT,+1 801-224-1155,https://branches.fleetpride.com/ut/orem/truckparts-277.html,Mo-Fr 08:00-17:00,,40.312737,-111.728913,POINT(-111.728913 40.312737),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:279,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2138 Century Way,Boise,ID,+1 208-377-9393,https://branches.fleetpride.com/id/boise/truckparts-279.html,Mo-Fr 08:00-17:00,,43.583389,-116.273029,POINT(-116.273029 43.583389),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:28,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",405 S. Regional Rd,Greensboro,NC,+1 336-665-1411,https://branches.fleetpride.com/nc/greensboro/truckparts-28.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,36.085129,-79.954545,POINT(-79.954545 36.085129),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:280,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2173 West 850 North,Cedar City,UT,+1 435-867-4666,https://branches.fleetpride.com/ut/cedarcity/truckparts-280.html,Mo-Fr 08:00-17:00,,37.691722,-113.091873,POINT(-113.091873 37.691722),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:282,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1077 West RSI Drive,Logan,UT,+1 435-753-9191,https://branches.fleetpride.com/ut/logan/truckparts-282.html,Mo-Fr 08:00-17:00,,41.757492,-111.860623,POINT(-111.860623 41.757492),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:286,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",44113 Kalifornsky Beach Road,Soldotna,AK,+1 907-260-9177,https://branches.fleetpride.com/ak/soldotna/truckparts-286.html,Mo-Fr 08:00-17:00,,60.484175,-151.148934,POINT(-151.148934 60.484175),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:288,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1884 East 3rd Avenue,Anchorage,AK,+1 907-278-6622,https://branches.fleetpride.com/ak/anchorage/truckparts-288.html,Mo-Fr 08:00-17:00,,61.219101,-149.846599,POINT(-149.846599 61.219101),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:289,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",6011 NE Columbia Boulevard,Portland,OR,+1 503-249-1010,https://branches.fleetpride.com/or/portland/truckparts-289.html,Mo-Fr 08:00-17:00,,45.569211,-122.600581,POINT(-122.600581 45.569211),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:29,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2060 Hardy Parkway,Grove City,OH,+1 614-801-0212,https://branches.fleetpride.com/oh/grovecity/truckparts-29.html,Mo-Fr 07:30-17:30; Sa 08:00-12:00,,39.914786,-83.036062,POINT(-83.036062 39.914786),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:290,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1800 McGilchrist SE,Salem,OR,+1 503-363-3159,https://branches.fleetpride.com/or/salem/truckparts-290.html,Mo-Fr 08:00-17:30,,44.916231,-123.021961,POINT(-123.021961 44.916231),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:3,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2557 W Sunset Ave,Springdale,AR,+1 479-751-9202,https://branches.fleetpride.com/ar/springdale/truckparts-3.html,Mo-Fr 07:30-17:00,,36.174099,-94.158696,POINT(-94.158696 36.174099),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:30,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2008 East Malone,Sikeston,MO,+1 573-471-3320,https://branches.fleetpride.com/mo/sikeston/truckparts-30.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,36.88642,-89.554319,POINT(-89.554319 36.88642),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:307,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company","895 Stillwater Road, Ste. 700",West Sacramento,CA,+1 916-372-4812,https://branches.fleetpride.com/ca/westsacramento/truckparts-307.html,Mo-Fr 07:30-17:00,,38.58644,-121.55864,POINT(-121.55864 38.58644),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:31,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",450 S. 129th E. Ave.,Tulsa,OK,+1 918-437-5040,https://branches.fleetpride.com/ok/tulsa/truckparts-31.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,36.153884,-95.834028,POINT(-95.834028 36.153884),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:311,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2300 Palmer Street,Missoula,MT,+1 406-549-9531,https://branches.fleetpride.com/mt/missoula/truckparts-311.html,Mo-Fr 07:30-17:00; Sa 09:00-13:00,,46.8872447,-114.0250059,POINT(-114.0250059 46.8872447),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:312,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",2900 US Hwy 2 East,Kalispell,MT,+1 406-755-1980,https://branches.fleetpride.com/mt/kalispell/truckparts-312.html,Mo-Fr 08:00-17:00,,48.2575259,-114.2744296,POINT(-114.2744296 48.2575259),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:313,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1325 Central Avenue West,Great Falls,MT,+1 406-452-3400,https://branches.fleetpride.com/mt/greatfalls/truckparts-313.html,Mo-Fr 07:30-17:00,,47.5082981,-111.335216,POINT(-111.335216 47.5082981),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:315,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1711 Van Horn Road,Fairbanks,AK,+1 907-456-6464,https://branches.fleetpride.com/ak/fairbanks/truckparts-315.html,Mo-Fr 08:00-17:00,,64.8127224,-147.7461114,POINT(-147.7461114 64.8127224),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:32,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",815 Eastern Star Rd,Kingsport,TN,+1 423-288-9539,https://branches.fleetpride.com/tn/kingsport/truckparts-32.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,36.547808,-82.497259,POINT(-82.497259 36.547808),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:328,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",4502 Mitchell Street,N. Las Vegas,NV,+1 702-633-4226,https://branches.fleetpride.com/nv/n-lasvegas/truckparts-328.html,Mo-Fr 07:30-17:00,,36.240397,-115.097233,POINT(-115.097233 36.240397),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:34,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1225 East Willow,Enid,OK,+1 580-234-4009,https://branches.fleetpride.com/ok/enid/truckparts-34.html,Mo-Fr 07:30-17:00; Sa 08:00-12:00,,36.41908,-97.859874,POINT(-97.859874 36.41908),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:35,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1585 Brown Ave,Cookeville,TN,+1 931-526-7787,https://branches.fleetpride.com/tn/cookeville/truckparts-35.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,36.184569,-85.487769,POINT(-85.487769 36.184569),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:356,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",900 Nandino Boulevard,Lexington,KY,+1 859-255-2237,https://branches.fleetpride.com/ky/lexington/truckparts-356.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,38.076615,-84.497018,POINT(-84.497018 38.076615),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:359,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",1033 North Fruitridge Avenue,Terre Haute,IN,+1 812-235-9098,https://branches.fleetpride.com/in/terrehaute/truckparts-359.html,Mo-Fr 07:30-17:00,,39.490095,-87.360127,POINT(-87.360127 39.490095),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:36,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company","909 McEntire Lane, NW",Decatur,AL,+1 256-355-4421,https://branches.fleetpride.com/al/decatur/truckparts-36.html,Mo-Fr 07:00-17:00; Sa 08:00-12:00,,34.613147,-87.033626,POINT(-87.033626 34.613147),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
fleetpride_us:37,fleetpride_us,FleetPride,"TruckPro, a FleetPride Company",9600 North Loop East,Houston,TX,+1 713-678-7100,https://branches.fleetpride.com/tx/houston/truckparts-37.html,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,29.791733,-95.258209,POINT(-95.258209 29.791733),2026-08-11 21:11:13+00,8052,2026-08-18 06:59:48.232286+00
